pair_id,aoi_id,aoi_name,event_id,event_name,event_kind,year,sensor_sar,sensor_optical,date_pre_sar,date_peak_sar,date_pre_opt,date_peak_opt,orbit_pass,relative_orbit,aoi_km2,rasters_dir,reference_mask
baseline_2018_09_low__blagoveshchensk,blagoveshchensk,Благовещенск — слияние Амура и Зеи,baseline_2018_09_low,"Контрольный период межени, сентябрь 2018",baseline,2018,sentinel1,,2018-07-29,2018-09-15,,,DESCENDING,105.0,1585.927,rasters/baseline_2018_09_low/blagoveshchensk,reference_masks/reference_baseline_2018_09_low__blagoveshchensk.tif
baseline_2018_09_low__konstantinovka,konstantinovka,Константиновка — пойма Амура,baseline_2018_09_low,"Контрольный период межени, сентябрь 2018",baseline,2018,sentinel1,,2018-07-29,2018-09-15,,,DESCENDING,105.0,1201.224,rasters/baseline_2018_09_low/konstantinovka,reference_masks/reference_baseline_2018_09_low__konstantinovka.tif
baseline_2018_09_low__svobodny,svobodny,Свободный — среднее течение Зеи,baseline_2018_09_low,"Контрольный период межени, сентябрь 2018",baseline,2018,sentinel1,,2018-07-29,2018-09-15,,,DESCENDING,105.0,1297.9,rasters/baseline_2018_09_low/svobodny,reference_masks/reference_baseline_2018_09_low__svobodny.tif
flood_2019_07_amur__belogorsk,belogorsk,Белогорск — река Томь,flood_2019_07_amur,"Паводок в Приамурье, июль 2019",rain_flood,2019,sentinel1,sentinel2,2019-06-13,2019-07-25,2019-06-18,2019-07-30,DESCENDING,32.0,913.851,rasters/flood_2019_07_amur/belogorsk,reference_masks/reference_flood_2019_07_amur__belogorsk.tif
flood_2019_07_amur__blagoveshchensk,blagoveshchensk,Благовещенск — слияние Амура и Зеи,flood_2019_07_amur,"Паводок в Приамурье, июль 2019",rain_flood,2019,sentinel1,,2019-06-13,2019-07-25,,,DESCENDING,32.0,1649.168,rasters/flood_2019_07_amur/blagoveshchensk,reference_masks/reference_flood_2019_07_amur__blagoveshchensk.tif
flood_2019_07_amur__konstantinovka,konstantinovka,Константиновка — пойма Амура,flood_2019_07_amur,"Паводок в Приамурье, июль 2019",rain_flood,2019,sentinel1,,2019-06-13,2019-07-25,,,DESCENDING,32.0,1235.45,rasters/flood_2019_07_amur/konstantinovka,reference_masks/reference_flood_2019_07_amur__konstantinovka.tif
flood_2019_07_amur__svobodny,svobodny,Свободный — среднее течение Зеи,flood_2019_07_amur,"Паводок в Приамурье, июль 2019",rain_flood,2019,sentinel1,sentinel2,2019-06-13,2019-07-25,2019-06-18,2019-07-30,DESCENDING,32.0,1328.965,rasters/flood_2019_07_amur/svobodny,reference_masks/reference_flood_2019_07_amur__svobodny.tif
flood_2021_06_amur__blagoveshchensk,blagoveshchensk,Благовещенск — слияние Амура и Зеи,flood_2021_06_amur,"Рекордный подъём Амура у Благовещенска, июнь 2021",rain_flood,2021,sentinel1,sentinel2,2021-05-14,2021-07-01,2021-05-18,2021-06-27,DESCENDING,105.0,1585.927,rasters/flood_2021_06_amur/blagoveshchensk,reference_masks/reference_flood_2021_06_amur__blagoveshchensk.tif
flood_2021_06_amur__konstantinovka,konstantinovka,Константиновка — пойма Амура,flood_2021_06_amur,"Рекордный подъём Амура у Благовещенска, июнь 2021",rain_flood,2021,sentinel1,sentinel2,2021-05-14,2021-07-01,2021-05-18,2021-06-27,DESCENDING,105.0,1235.45,rasters/flood_2021_06_amur/konstantinovka,reference_masks/reference_flood_2021_06_amur__konstantinovka.tif
flood_2021_06_amur__poyarkovo,poyarkovo,"Поярково — Михайловский район, Амур",flood_2021_06_amur,"Рекордный подъём Амура у Благовещенска, июнь 2021",rain_flood,2021,sentinel1,sentinel2,2021-05-14,2021-07-01,2021-05-18,2021-06-27,DESCENDING,105.0,1090.706,rasters/flood_2021_06_amur/poyarkovo,reference_masks/reference_flood_2021_06_amur__poyarkovo.tif
flood_2021_08_zeya__svobodny,svobodny,Свободный — среднее течение Зеи,flood_2021_08_zeya,"Наводнение на Зее и Селемдже, август 2021",rain_flood,2021,sentinel1,sentinel2,2021-06-26,2021-08-13,2021-06-29,2021-08-11,DESCENDING,32.0,1297.9,rasters/flood_2021_08_zeya/svobodny,reference_masks/reference_flood_2021_08_zeya__svobodny.tif
